appid,name,year,developer,platforms,num_ratings,positive_rate,multi_player,single_player,genre,theme,special
10,Counter-Strike,2000,Valve,windows;mac;linux,127873,0.973888155,1,0,['0'],['6'],
20,Team Fortress Classic,1999,Valve,windows;mac;linux,3951,0.839787396,1,0,['0'],['6'],
30,Day of Defeat,2003,Valve,windows;mac;linux,3814,0.895647614,1,0,['0'],"['6', '23']",
40,Deathmatch Classic,2001,Valve,windows;mac;linux,1540,0.826623377,1,0,['0'],['6'],
50,Half-Life: Opposing Force,1999,Gearbox Software,windows;mac;linux,5538,0.947995666,1,1,['0'],"['6', '21']",
60,Ricochet,2000,Valve,windows;mac;linux,3442,0.801278327,1,0,['0'],['6'],
70,Half-Life,1998,Valve,windows;mac;linux,28855,0.961878357,1,1,['0'],"['6', '16']",['4']
80,Counter-Strike: Condition Zero,2004,Valve,windows;mac;linux,13559,0.893871229,1,1,['0'],['6'],
130,Half-Life: Blue Shift,2001,Gearbox Software,windows;mac;linux,4242,0.900990099,0,1,['0'],"['6', '21']",
220,Half-Life 2,2004,Valve,windows;mac;linux,70321,0.965600603,0,1,['0'],"['6', '21']",['4']
240,Counter-Strike: Source,2004,Valve,windows;mac;linux,80137,0.95636223,1,0,['0'],['6'],"['4', '8']"
280,Half-Life: Source,2004,Valve,windows;mac;linux,4820,0.78153527,0,1,['0'],"['6', '21']",
300,Day of Defeat: Source,2010,Valve,windows;mac;linux,11699,0.896572357,1,0,['0'],"['6', '23']",['8']
320,Half-Life 2: Deathmatch,2004,Valve,windows;mac;linux,6807,0.884383723,1,0,['0'],['6'],
340,Half-Life 2: Lost Coast,2005,Valve,windows;mac;linux,6803,0.850066147,0,1,['0'],['6'],
360,Half-Life Deathmatch: Source,2006,Valve,windows;mac;linux,1835,0.742234332,1,0,['0'],['6'],
380,Half-Life 2: Episode One,2006,Valve,windows;mac;linux,8425,0.938635015,0,1,['0'],"['6', '21']",['4']
400,Portal,2007,Valve,windows;mac;linux,52881,0.979576786,0,1,['0'],['0'],
420,Half-Life 2: Episode Two,2007,Valve,windows;mac;linux,14598,0.952322236,0,1,['0'],"['6', '21']",['4']
440,Team Fortress 2,2007,Valve,windows;mac;linux,549915,0.938106798,1,0,['0'],['6'],['8']
500,Left 4 Dead,2008,Valve,windows;mac,18899,0.949838616,1,1,['0'],"['6', '20']","['1', '2', '4']"
550,Left 4 Dead 2,2009,Valve,windows;mac;linux,260207,0.967648833,1,1,['0'],"['6', '20']","['1', '2', '4']"
570,Dota 2,2013,Valve,windows;mac;linux,1005586,0.858710245,1,0,"['0', '1']",,"['0', '2']"
620,Portal 2,2011,Valve,windows;mac;linux,140111,0.986503558,1,1,"['0', '2']",['0'],"['1', '2', '4']"
630,Alien Swarm,2010,Valve,windows,18376,0.948791902,1,1,['0'],,"['2', '4']"
730,Counter-Strike: Global Offensive,2012,Valve;Hidden Path Entertainment,windows;mac;linux,3046717,0.867951963,1,0,['0'],['6'],['1']
1002,Rag Doll Kung Fu,2005,Mark Healey,windows,57,0.701754386,1,1,['3'],,
1200,Red Orchestra: Ostfront 41-45,2006,Tripwire Interactive,windows;mac;linux,1785,0.875070028,1,0,['0'],"['6', '23']",
1250,Killing Floor,2009,Tripwire Interactive,windows;mac;linux,56359,0.952997747,1,1,['0'],"['6', '20']","['2', '8']"
1300,SiN Episodes: Emergence,2006,Ritual Entertainment,windows,529,0.884688091,0,1,['0'],['6'],
1500,Darwinia,2005,Introversion Software,windows;mac;linux,630,0.749206349,0,1,"['1', '3']",['14'],
1510,Uplink,2006,Introversion Software,windows;mac;linux,1754,0.913340935,0,1,"['1', '3']",,
1520,DEFCON,2006,Introversion Software,windows;mac;linux,2401,0.856726364,1,1,"['1', '3']",,
1530,Multiwinia,2008,Introversion Software,windows;mac,443,0.830699774,1,1,['3'],['14'],
1600,Dangerous Waters,2006,Sonalysts,windows,184,0.760869565,1,1,['1'],,
1610,Space Empires IV Deluxe,2006,Malfador Machinations,windows,138,0.811594203,1,1,['1'],['21'],
1630,Disciples II: Rise of the Elves ,2006,Strategy First,windows,559,0.806797853,1,1,['1'],"['18', '24']",['2']
1640,Disciples II: Gallean's Return,2006,Strategy First,windows,642,0.763239875,1,1,['1'],"['16', '18']",['2']
1670,Iron Warriors: T - 72 Tank Command ,2006,Strategy First,windows,239,0.573221757,1,1,['1'],,
1690,Space Empires V,2006,Malfador Machinations,windows,276,0.692028986,1,1,['1'],['11'],
1700,Arx Fatalis,2007,Arkane Studios,windows,777,0.863577864,0,1,['4'],['16'],
1840,Source Filmmaker,2012,Valve,windows,16194,0.931394344,0,0,"['5', '6']",,
1900,Earth 2160,2006,Reality Pump Studios,windows;mac;linux,736,0.676630435,1,1,['1'],"['14', '21']","['2', '8']"
1930,Two Worlds Epic Edition,2009,Reality Pump Studios,windows;mac;linux,3711,0.715710051,1,1,['4'],"['9', '24']","['2', '8']"
2100,Dark Messiah of Might & Magic,2006,Arkane Studios,windows,4702,0.932794556,1,1,"['0', '4']",,
2200,Quake III Arena,2007,id Software,windows,1428,0.953781513,1,1,['0'],"['6', '16']",['4']
2210,Quake IV,2011,RavenSoft / id Software,windows,1062,0.838983051,1,1,['0'],['6'],['4']
2270,Wolfenstein 3D,2007,id Software,windows,1860,0.953225806,0,1,['0'],"['6', '16']",['4']
2280,Ultimate Doom,2007,id Software,windows,3962,0.935133771,0,1,['0'],"['6', '16']",['4']
2290,Final DOOM,2007,id Software,windows,655,0.87480916,0,1,['0'],"['6', '16']",['4']
2300,DOOM II,2007,id Software,windows,2699,0.932567618,1,1,['0'],"['6', '16']",['4']
2310,QUAKE,2007,id Software,windows,2754,0.950617284,1,1,['0'],"['6', '16']","['2', '4']"
2320,QUAKE II,2007,id Software,windows,1476,0.927506775,1,1,['0'],"['6', '16']","['2', '4']"
2330,QUAKE II Mission Pack: The Reckoning,2007,Xatrix Entertainment,windows,77,0.844155844,1,1,['0'],"['6', '16']",['4']
2340,QUAKE II Mission Pack: Ground Zero,2007,Rogue Entertainment,windows,87,0.620689655,1,1,['0'],['6'],['4']
2350,QUAKE III: Team Arena,2007,id Software,windows,139,0.776978417,1,1,['0'],['6'],"['3', '4']"
2360,HeXen: Beyond Heretic,2007,Raven Software,windows,275,0.905454545,0,1,['0'],"['6', '16']",['4']
2370,HeXen: Deathkings of the Dark Citadel,2007,Raven Software,windows,77,0.74025974,0,1,['0'],"['6', '16']",['4']
2390,Heretic: Shadow of the Serpent Riders,2007,Raven Software,windows,446,0.934977578,1,1,['0'],"['6', '16']",['4']
2400,The Ship: Murder Party,2006,Outerlight Ltd.,windows,5611,0.85884869,1,1,"['0', '3', '4']",,
2450,Bloody Good Time,2010,Outerlight Ltd.,windows,866,0.76443418,1,1,['0'],['6'],
2500,Shadowgrounds,2006,Frozenbyte,windows;mac,1221,0.796887797,0,1,['0'],['21'],
2520,Gumboy - Crazy Adventures™,2006,"CINEMAX, s.r.o.",windows,98,0.530612245,0,1,"['3', '7']",,
2590,Alpha Prime,2007,Black Element,windows,1133,0.538393645,0,1,['0'],"['6', '21']",
2600,Vampire: The Masquerade - Bloodlines,2007,Troika Games,windows,6523,0.944504063,0,1,['0'],['16'],
2610,GUN™,2006,Neversoft,windows,827,0.894800484,0,1,['0'],['9'],
2620,Call of Duty®,2006,Infinity Ward,windows,1672,0.930023923,1,1,['0'],"['6', '23']",
2630,Call of Duty® 2,2006,Infinity Ward;Aspyr (Mac),windows;mac,2670,0.911610487,1,1,['0'],"['6', '23']",
2640,Call of Duty: United Offensive,2006,Gray Matter Studios,windows,587,0.834752981,1,1,['0'],"['6', '23']",
2710,Act of War: Direct Action,2008,Eugen Systems,windows,213,0.845070423,1,1,['0'],['14'],
2720,ThreadSpace: Hyperbol,2007,Iocaine Studios,windows,40,0.775,1,1,"['0', '1', '3']",,
2780,ARMA: Combat Operations,2008,Bohemia Interactive,windows,222,0.653153153,1,1,['0'],,
2800,X2: The Threat,2006,Egosoft,windows,262,0.809160305,0,1,['1'],['11'],['4']
2810,X3: Reunion,2006,Egosoft,windows;mac;linux,395,0.713924051,0,1,['1'],['11'],['4']
2820,X3: Terran Conflict,2008,Egosoft,windows;mac;linux,1905,0.857217848,0,1,"['0', '1', '8']","['11', '21']","['1', '4']"
2840,X: Beyond the Frontier,2010,Egosoft,windows,190,0.747368421,0,1,"['1', '8']",['11'],['4']
2850,X: Tension,2010,Egosoft,windows,75,0.76,0,1,"['1', '8']",['11'],['4']
